Time, r_SP, r_MV, w_output, r_u, w_y, w_output
6.0204, 0.0000, 0.8196, -0.8306, -0.8418, 0.8196, 0.0000
6.0566, 0.0000, 0.8196, -0.8306, -0.8418, 0.8196, 0.0000
6.1258, 0.0000, 0.8196, -0.8306, -0.8306, 0.8196, 0.0000
6.2710, 0.0000, 0.8196, -0.8306, -0.8306, 0.8196, 0.0000
6.2773, 0.0000, 0.8196, -0.8306, -0.8306, 0.8196, 0.0000
6.2791, 0.0000, 0.8196, -0.8306, -0.8306, 0.8196, 0.0000
6.2811, 0.0000, 0.8196, -0.8306, -0.8306, 0.8196, 0.0000
6.2853, 0.0000, 0.8196, -0.8306, -0.8306, 0.8196, 0.0000
6.3931, 0.0000, 0.8196, -0.8196, -0.8306, 0.8196, 0.0000
6.4149, 0.0000, 0.8196, -0.8196, -0.8306, 0.8196, 0.0000
6.4269, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.4559, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.4649, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.4915, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.5155, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.6291, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.6510, 0.0000, 0.8196, -0.8196, -0.8196, 0.8196, 0.0000
6.6568, 0.0000, 0.8196, -0.8196, -0.8196, 0.8087, 0.0000
6.6617, 0.0000, 0.8196, -0.8196, -0.8196, 0.8087, 0.0000
6.6659, 0.0000, 0.8087, -0.8196, -0.8196, 0.8087, 0.0000
6.7001, 0.0000, 0.8087, -0.8196, -0.8196, 0.8087, 0.0000
6.7069, 0.0000, 0.8087, -0.8196, -0.8196, 0.8087, 0.0000
6.7104, 0.0000, 0.8087, -0.8196, -0.8196, 0.8087, 0.0000
6.8181, 0.0000, 0.8087, -0.8087, -0.8196, 0.8087, 0.0000
6.8406, 0.0000, 0.8087, -0.8087, -0.8196, 0.8087, 0.0000
6.8496, 0.0000, 0.8087, -0.8087, -0.8196, 0.8087, 0.0000
6.8766, 0.0000, 0.8087, -0.8087, -0.8196, 0.8087, 0.0000
6.9794, 0.0000, 0.8087, -0.8087, -0.8196, 0.8087, 0.0000
6.9854, 0.0000, 0.8087, -0.8087, -0.8196, 0.8087, 0.0000
7.0025, 0.0000, 0.8087, -0.8087, -0.8196, 0.7981, 0.0000
7.0065, 0.0000, 0.8087, -0.8087, -0.8196, 0.7981, 0.0000
7.0206, 0.0000, 0.8087, -0.8087, -0.8196, 0.7981, 0.0000
7.0268, 0.0000, 0.8087, -0.8087, -0.8196, 0.7981, 0.0000
7.0360, 0.0000, 0.8087, -0.8087, -0.8196, 0.7981, 0.0000
7.0816, 0.0000, 0.7981, -0.8087, -0.8196, 0.7981, 0.0000
7.1122, 0.0000, 0.7981, -0.8087, -0.8087, 0.7981, 0.0000
7.0879, 0.0000, 0.7981, -0.8087, -0.8087, 0.7981, 0.0000
7.1291, 0.0000, 0.7981, -0.8087, -0.8087, 0.7981, 0.0000
7.2127, 0.0000, 0.7981, -0.8087, -0.8087, 0.7981, 0.0000
7.3213, 0.0000, 0.7981, -0.8087, -0.8087, 0.7981, 0.0000
7.4078, 0.0000, 0.7981, -0.8087, -0.8087, 0.7981, 0.0000
7.4083, 0.0000, 0.7981, -0.7981, -0.8087, 0.7981, 0.0000
7.4093, 0.0000, 0.7981, -0.7981, -0.8087, 0.7771, 0.0000
7.4209, 0.0000, 0.7981, -0.7981, -0.8087, 0.7771, 0.0000
7.4479, 0.0000, 0.7981, -0.7981, -0.7981, 0.7771, 0.0000
7.4584, 0.0000, 0.7981, -0.7981, -0.7981, 0.7771, 0.0000
7.4642, 0.0000, 0.7981, -0.7981, -0.7981, 0.7771, 0.0000
7.4779, 0.0000, 0.7981, -0.7981, -0.7981, 0.7771, 0.0000
7.4540, 0.0000, 0.7771, -0.7981, -0.7981, 0.7771, 0.0000
7.4888, 0.0000, 0.7771, -0.7981, -0.7981, 0.7771, 0.0000
7.5151, 0.0000, 0.7771, -0.7981, -0.7981, 0.7771, 0.0000
7.6384, 0.0000, 0.7771, -0.7981, -0.7981, 0.7771, 0.0000
7.6504, 0.0000, 0.7771, -0.7981, -0.7981, 0.7771, 0.0000
7.6551, 0.0000, 0.7771, -0.7771, -0.7981, 0.7771, 0.0000
7.6556, 0.0000, 0.7771, -0.7771, -0.7981, 0.7771, 0.0000
7.6671, 0.0000, 0.7771, -0.7771, -0.7981, 0.7771, 0.0000
7.7361, 0.0000, 0.7771, -0.7771, -0.7981, 0.7771, 0.0000
7.7417, 0.0000, 0.7771, -0.7771, -0.7771, 0.7771, 0.0000
7.7678, 0.0000, 0.7771, -0.7771, -0.7771, 0.7771, 0.0000
7.7885, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
7.8710, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
7.8809, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
7.9080, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.0476, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.0834, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.1039, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.1724, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.1823, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.1926, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.2118, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.2270, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.2366, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.2410, 0.0000, 0.7771, -0.7771, -0.7771, 0.7667, 0.0000
8.2686, 0.0000, 0.7667, -0.7771, -0.7771, 0.7667, 0.0000
8.2930, 0.0000, 0.7667, -0.7771, -0.7771, 0.7667, 0.0000
8.3925, 0.0000, 0.7667, -0.7771, -0.7771, 0.7667, 0.0000
8.4034, 0.0000, 0.7667, -0.7771, -0.7771, 0.7667, 0.0000
8.4493, 0.0000, 0.7667, -0.7771, -0.7771, 0.7667, 0.0000
8.4583, 0.0000, 0.7667, -0.7771, -0.7667, 0.7667, 0.0000
8.4614, 0.0000, 0.7667, -0.7771, -0.7667, 0.7566, 0.0000
8.4831, 0.0000, 0.7667, -0.7771, -0.7667, 0.7566, 0.0000
8.5007, 0.0000, 0.7667, -0.7771, -0.7667, 0.7566, 0.0000
8.5284, 0.0000, 0.7667, -0.7771, -0.7667, 0.7566, 0.0000
8.5316, 0.0000, 0.7667, -0.7771, -0.7667, 0.7566, 0.0000
8.5310, 0.0000, 0.7667, -0.7667, -0.7667, 0.7566, 0.0000
8.5552, 0.0000, 0.7566, -0.7667, -0.7667, 0.7566, 0.0000
8.5809, 0.0000, 0.7566, -0.7667, -0.7667, 0.7566, 0.0000
8.7076, 0.0000, 0.7566, -0.7667, -0.7667, 0.7466, 0.0000
8.7282, 0.0000, 0.7566, -0.7667, -0.7667, 0.7466, 0.0000
8.7341, 0.0000, 0.7566, -0.7667, -0.7667, 0.7466, 0.0000
8.7636, 0.0000, 0.7566, -0.7566, -0.7667, 0.7466, 0.0000
8.7742, 0.0000, 0.7566, -0.7566, -0.7667, 0.7466, 0.0000
8.7389, 0.0000, 0.7566, -0.7566, -0.7667, 0.7466, 0.0000
8.8084, 0.0000, 0.7366, -0.7566, -0.7667, 0.7466, 0.0000
8.8930, 0.0000, 0.7366, -0.7566, -0.7667, 0.7366, 0.0000
8.8725, 0.0000, 0.7366, -0.7566, -0.7566, 0.7366, 0.0000
8.9331, 0.0000, 0.7366, -0.7566, -0.7566, 0.7366, 0.0000
8.9424, 0.0000, 0.7366, -0.7566, -0.7566, 0.7366, 0.0000
8.9704, 0.0000, 0.7366, -0.7566, -0.7566, 0.7366, 0.0000
9.0622, 0.0000, 0.7366, -0.7566, -0.7566, 0.7268, 0.0000
9.0705, 0.0000, 0.7366, -0.7566, -0.7566, 0.7268, 0.0000
9.0885, 0.0000, 0.7366, -0.7566, -0.7566, 0.7268, 0.0000
9.0924, 0.0000, 0.7366, -0.7566, -0.7366, 0.7268, 0.0000
9.1350, 0.0000, 0.7366, -0.7566, -0.7366, 0.7268, 0.0000
9.1446, 0.0000, 0.7268, -0.7566, -0.7366, 0.7268, 0.0000
9.1459, 0.0000, 0.7268, -0.7566, -0.7366, 0.7268, 0.0000
9.1534, 0.0000, 0.7268, -0.7566, -0.7366, 0.7268, 0.0000
9.1636, 0.0000, 0.7268, -0.7566, -0.7366, 0.7268, 0.0000
9.1914, 0.0000, 0.7268, -0.7366, -0.7366, 0.7268, 0.0000
9.1972, 0.0000, 0.7268, -0.7366, -0.7366, 0.7268, 0.0000
9.2090, 0.0000, 0.7268, -0.7366, -0.7366, 0.7268, 0.0000
9.4093, 0.0000, 0.7268, -0.7366, -0.7366, 0.7268, 0.0000
9.4299, 0.0000, 0.7268, -0.7366, -0.7366, 0.7268, 0.0000
9.4327, 0.0000, 0.7268, -0.7366, -0.7366, 0.7268, 0.0000
9.4434, 0.0000, 0.7268, -0.7268, -0.7366, 0.7268, 0.0000
9.4545, 0.0000, 0.7268, -0.7268, -0.7366, 0.7268, 0.0000
9.4719, 0.0000, 0.7268, -0.7268, -0.7366, 0.7170, 0.0000
9.4813, 0.0000, 0.7268, -0.7268, -0.7366, 0.7170, 0.0000
9.5093, 0.0000, 0.7170, -0.7268, -0.7366, 0.7170, 0.0000
9.5220, 0.0000, 0.7170, -0.7268, -0.7366, 0.7170, 0.0000
9.5267, 0.0000, 0.7170, -0.7268, -0.7366, 0.7170, 0.0000
9.5386, 0.0000, 0.7170, -0.7268, -0.7268, 0.7170, 0.0000
9.5421, 0.0000, 0.7170, -0.7268, -0.7268, 0.7170, 0.0000
9.6472, 0.0000, 0.7170, -0.7268, -0.7268, 0.7170, 0.0000
