Time, consumer_reader_ch1, consumer_reader_ch2, producer_writer_ch1, producer_writer_ch2
45.8853, 37081, -1334181888, 37081, -1334181888
45.8976, 37081, -1334181888, 37081, -1334181888
45.9255, 37081, -1334181888, 37081, -1334181888
46.6618, 37081, -1334181888, 37081, -1334181888
46.6879, 37081, -1334181888, 37081, -1334181888
46.7004, 37081, -1334181888, 37081, -1334181888
46.7321, 37081, -1334181888, 37081, -1334181888
46.7368, 37081, -1334181888, 37081, -1334181888
46.7752, 37081, -1334181888, 37081, -1334181888
46.7850, 37081, -1334181888, 37081, -1334181888
46.8310, 37081, -1334181888, 37081, -1334181888
47.9783, 37081, -1334181888, 37081, -1334181888
48.0682, 37081, -1334181888, 37081, -1334181888
48.0803, 37081, -1334181888, 37081, -1334181888
48.1066, 37081, -1334181888, 37081, -1334181888
48.1175, 37081, -1334181888, 37081, -1334181888
48.1455, 37081, -1334181888, 37081, -1334181888
48.1573, 37081, -1334181888, 37081, -1334181888
48.1842, 37081, -1334181888, 37081, -1334181888
48.8860, 37081, -1334181888, 37081, -1334181888
48.9073, 37081, -1334181888, 37081, -1334181888
48.9210, 37081, -1334181888, 37081, -1334181888
48.9553, 37081, -1334181888, 37081, -1334181888
48.9712, 37081, -1334181888, 37081, -1334181888
49.0072, 37081, -1334181888, 37081, -1334181888
49.0174, 37081, -1334181888, 37081, -1334181888
49.0452, 37081, -1334181888, 37081, -1334181888
49.7260, 37081, -1334181888, 37081, -1334181888
49.7457, 37081, -1334181888, 37081, -1334181888
49.7565, 37081, -1334181888, 37081, -1334181888
49.7972, 37081, -1334181888, 37081, -1334181888
49.8237, 37081, -1334181888, 37081, -1334181888
49.8614, 37081, -1334181888, 37081, -1334181888
49.8716, 37081, -1334181888, 37081, -1334181888
49.9009, 37081, -1334181888, 37081, -1334181888
50.8768, 37081, -1334181888, 37081, -1334181888
50.9526, 37081, -1334181888, 37081, -1334181888
50.9646, 37081, -1334181888, 37081, -1334181888
50.9921, 37081, -1334181888, 37081, -1334181888
50.9993, 37081, -1334181888, 37081, -1334181888
51.0321, 37081, -1334181888, 37081, -1334181888
51.0435, 37081, -1334181888, 37081, -1334181888
51.0685, 37081, -1334181888, 37081, -1334181888
51.7499, 37081, -1334181888, 37081, -1334181888
52.2693, 37081, -1334181888, 37081, -1334181888
